id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5539288,Rental unit in Austin · 2 bedrooms · 2 beds · 2 baths,28725726,Zoi,,78704,30.25301,-97.74692,Entire home/apt,500,1,0,,,1,0,0,
5851765,Rental unit in Austin · 1 bedroom · 1 bed · 1 bath,20808466,Sneha,,78704,30.25764,-97.7529,Private room,75,3,0,,,1,0,0,
5544175,Home in Austin · 1 bedroom · 4 beds · 1 bath,27838897,Kevin,,78702,30.25534,-97.70298,Entire home/apt,300,3,0,,,1,0,0,
5869022,Guest suite in Austin · ★4.91 · 1 bedroom · 1 bed · 1 private bath,20517639,Ursula,,78746,30.27235,-97.80954,Private room,92,1,336,2023-05-27,3.47,1,170,27,
5871200,Rental unit in Austin · ★4.75 · 1 bedroom · 1 bed · 1 bath,1532964,Ikenna,,78741,30.22709,-97.73003,Entire home/apt,145,1,9,2016-03-19,0.09,1,0,0,
5549268,Home in Austin · ★4.50 · 2 bedrooms · 2 beds · 1 bath,28770936,Ivey,,78721,30.27589,-97.68787,Entire home/apt,443,2,13,2016-09-05,0.13,1,0,0,
5873238,Home in Austin · ★4.80 · Studio · 1 bed · 1 bath,6513345,Chris,,78751,30.31094,-97.72284,Entire home/apt,74,1,665,2023-06-01,6.69,1,112,75,
5549457,Rental unit in Austin · 1 bedroom · 1 bed · 1 bath,9475712,Miguel,,78751,30.30635,-97.72289,Private room,200,1,0,,,1,0,0,
5928354,Home in Austin · 3 bedrooms · 2 beds · 3.5 baths,30781188,Joe,,78704,30.24384,-97.764,Entire home/apt,550,1,0,,,1,0,0,
5549898,Home in Austin · 1 bedroom · 1 bed · 1 bath,24710346,Patrick,,78749,30.22718,-97.85813,Private room,49,2,0,,,1,0,0,
5550894,Loft in Austin · ★4.33 · 3 bedrooms · 3 beds · 2 baths,22594239,Clay,,78702,30.27451,-97.73002,Entire home/apt,650,3,4,2016-03-31,0.04,1,0,0,
5551188,Rental unit in Austin · ★5.0 · 2 bedrooms · 3 beds · 1 bath,28774961,Madeleine,,78756,30.31808,-97.73177,Entire home/apt,350,1,3,2016-03-19,0.03,1,0,0,
5928519,Rental unit in Austin · 2 bedrooms · 2 beds · 2 baths,23037633,Tom,,78703,30.26811,-97.75296,Entire home/apt,500,1,0,,,1,0,0,
5928709,Bungalow in Austin · ★4.98 · 1 bedroom · 1 bed · 1 bath,1329061,Michael,,78702,30.25538011769593,-97.72156596473353,Entire home/apt,89,1,124,2023-06-05,1.34,1,72,35,
5552689,Home in Austin · ★4.80 · 2 bedrooms · 4 beds · 2 baths,25152995,Paulina,,78757,30.34618,-97.74512,Entire home/apt,300,3,5,2018-04-22,0.05,1,0,0,
5992071,Rental unit in Austin · ★4.99 · 1 bedroom · 1 bed · 1 bath,11709743,Dustin,,78756,30.31137,-97.74686,Entire home/apt,195,2,69,2023-05-15,0.78,1,323,17,
6016413,Rental unit in Austin · ★4.47 · 3 bedrooms · 3 beds · 2 baths,4929310,Ryan,,78701,30.26408,-97.74026,Entire home/apt,289,1,188,2023-05-25,1.93,28,312,29,
5557483,Home in Austin · ★5.0 · 2 bedrooms · 6 beds · 1.5 shared baths,25989423,Keith,,78702,30.27711,-97.71075,Private room,50,1,7,2017-11-12,0.08,2,0,0,
5557796,Home in Austin · 3 bedrooms · 3 beds · 2.5 baths,12939281,Aly,,78741,30.222236746751392,-97.69676207404031,Entire home/apt,258,3,1,2023-04-30,0.70,1,68,1,
6025598,Home in Austin · ★4.89 · 3 bedrooms · 5 beds · 2 baths,1523587,Dallas,,78751,30.30384,-97.73301,Entire home/apt,319,30,84,2020-05-01,0.85,22,0,0,
5561157,Home in Austin · ★4.94 · 1 bedroom · 1 bed · 2 baths,28830615,Mark,,78704,30.24399,-97.75382,Entire home/apt,150,2,154,2020-01-07,1.53,1,0,0,
6056285,Rental unit in Austin · 1 bedroom · 2 beds · 1 bath,2843366,Maro,,78731,30.35702,-97.75232,Entire home/apt,150,2,0,,,1,0,0,
5567132,Rental unit in Austin · 1 bedroom · 2 beds · 1 bath,22849092,Brittney,,78751,30.31115,-97.73265,Entire home/apt,400,1,0,,,1,364,0,
5568589,Home in Austin · 4 bedrooms · 5 beds · 3 baths,28767982,Sandy,,78704,30.25232,-97.77942,Entire home/apt,1250,4,0,,,1,0,0,
6093246,Home in Austin · 3 bedrooms · 3 beds · 2 baths,31621829,John,,78704,30.25383,-97.78326,Entire home/apt,600,2,0,,,1,0,0,
5568864,Home in Austin · 3 bedrooms · 2 beds · 1 bath,1839330,Steph,,78703,30.30196,-97.75752,Entire home/apt,750,1,0,,,1,0,0,
6093402,Home in Austin · 2 bedrooms · 2 beds · 1 bath,16872,Melissa,,78704,30.24505,-97.74042,Entire home/apt,195,2,0,,,3,0,0,
5571901,Rental unit in Austin · 5 bedrooms · 5 beds · 4 baths,28886861,Matt,,78705,30.28948,-97.74847,Entire home/apt,799,3,0,,,1,0,0,
5572837,Rental unit in Austin · 2 bedrooms · 3 beds · 2 baths,28894607,Alex,,78705,30.28582,-97.74803,Entire home/apt,499,1,1,2015-03-19,0.01,1,0,0,
6116865,Condo in Austin · ★4.83 · 2 bedrooms · 2 beds · 2 baths,11479422,Juanita/Ryan,,78705,30.28855,-97.74724,Entire home/apt,163,2,123,2023-05-07,1.24,1,341,14,
5576311,Home in Austin · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,25969635,David,,78745,30.20961,-97.76983,Private room,34,20,9,2017-12-16,0.10,1,0,0,
6120864,Rental unit in Austin · ★4.82 · 2 bedrooms · 4 beds · 2 baths,31757957,Gary,,78750,30.46104,-97.7978,Entire home/apt,175,2,78,2023-06-06,0.82,1,359,10,
6131087,Home in Austin · ★4.99 · 4 bedrooms · 4 beds · 2 baths,10051698,Lindsey,,78751,30.30931,-97.7195,Entire home/apt,500,2,69,2023-06-05,0.79,1,348,20,
5587184,Home in Austin · 1 bedroom · 1 bed · 1 bath,28969012,Marta,,78723,30.29681,-97.68761,Private room,80,1,1,2015-03-20,0.01,1,0,0,
6184106,Home in Austin · ★4.90 · 1 bedroom · 1 bed · 1 private bath,21607195,Pixie,,78704,30.23323,-97.77959,Private room,492,90,211,2020-02-17,2.14,6,122,0,
5590653,Home in Austin · 3 bedrooms · 4 beds · 2 baths,28985665,Simon,,78751,30.30114,-97.72344,Entire home/apt,800,1,0,,,1,0,0,
6185503,Townhouse in Austin · ★4.75 · 2 bedrooms · 1 bed · 1.5 shared baths,3161356,Lucy,,78758,30.36865,-97.69854,Private room,75,2,64,2023-02-26,0.65,1,287,4,
5591862,Rental unit in Austin · 1 bedroom · 1 bed · 1 bath,13167390,Erik,,78704,30.25328,-97.76533,Entire home/apt,500,1,0,,,1,0,0,
6187395,Home in Austin · ★4.96 · Studio · 1 bed · 1 bath,14251452,Sarah,,78751,30.30497,-97.71738,Entire home/apt,151,2,149,2023-05-06,1.68,1,361,1,
6198536,Condo in Austin · ★4.64 · 3 bedrooms · 4 beds · 2 baths,32144172,Shane,,78741,30.24458,-97.72928,Entire home/apt,168,3,46,2023-04-02,0.48,1,326,6,
5592752,Rental unit in Austin · 2 bedrooms · 3 beds · 2 baths,18197195,Hicham,,78705,30.29344,-97.73404,Entire home/apt,230,1,2,2015-03-20,0.02,1,0,0,
5593238,Bungalow in Austin · ★4.31 · Studio · 1 bed · 1 bath,308720,Nico,,78722,30.29463,-97.71921,Entire home/apt,70,1,14,2022-08-14,0.14,1,0,3,
5593491,Home in Austin · 3 bedrooms · 3 beds · 2 baths,29001856,Ryan,,78723,30.3004,-97.68454,Entire home/apt,399,5,0,,,1,0,0,
6214178,Loft in Austin · ★4.76 · 2 bedrooms · 4 beds · 1 bath,15782486,Lodgewell,,78701,30.268679970079333,-97.7407626462535,Entire home/apt,197,1,216,2023-04-02,2.49,47,179,25,
5593563,Home in Austin · 1 bedroom · 1 bed · 1 bath,29002116,Travis,,78702,30.25994,-97.73358,Private room,425,1,0,,,1,0,0,
6238933,Home in Austin · ★4.78 · 4 bedrooms · 9 beds · 3 baths,23786982,Sarah And Steve,,78702,30.25596,-97.73389,Entire home/apt,529,2,131,2023-05-14,1.35,2,59,19,
5600950,Rental unit in Austin · 1 bedroom · 1 bed · 1.5 baths,10930927,John,,78745,30.21986,-97.77223,Entire home/apt,400,1,0,,,1,0,0,
5601570,Guest suite in Austin · ★4.90 · 1 bedroom · 1 bed · 1 bath,3712351,Ben,,78702,30.25235,-97.72389,Entire home/apt,121,2,652,2023-05-27,6.59,3,70,56,
6248576,Condo in Austin · ★4.50 · 1 bedroom · 1 bed · 1 bath,2380454,Irina,,78704,30.24336,-97.75225,Entire home/apt,58,90,10,2023-01-01,0.13,1,176,1,
5602667,Rental unit in Austin · Studio · 1 bed · 1 bath,12512956,Nate,,78751,30.31197,-97.73021,Entire home/apt,125,1,1,2015-03-17,0.01,1,0,0,
6250110,Rental unit in Austin · ★4.73 · Studio · 1 bed · 1 bath,9690291,Anna,,78756,30.30917,-97.74654,Entire home/apt,100,31,15,2017-08-30,0.15,1,0,0,
6260941,Home in Austin · ★4.80 · 2 bedrooms · 3 beds · 1 bath,22234571,Cathleen,,78756,30.31356,-97.73939,Entire home/apt,127,7,52,2020-06-27,0.53,1,339,0,
5602972,Home in Austin · ★4.71 · 1 bedroom · 1 bed · 1 bath,949297,Matthew C.,,78723,30.31468,-97.68302,Private room,50,3,7,2016-10-23,0.07,1,0,0,
6277444,Rental unit in Austin · 1 bedroom · 1 bed · 1 bath,5016901,Timon,,78705,30.28918,-97.74944,Private room,38,1,0,,,1,0,0,
5603014,Rental unit in Austin · ★4.67 · 2 bedrooms · 2 beds · 2 baths,29047848,Matt,,78705,30.29277,-97.74653,Entire home/apt,40,1,3,2015-08-01,0.03,1,0,0,
6285645,Home in Austin · ★4.96 · 2 bedrooms · 1 bed · 1 private bath,2250619,Huong & Andrew,,78702,30.27968,-97.71299,Private room,50,1,130,2019-11-09,1.80,1,0,0,
5603829,Rental unit in Austin · 1 bedroom · 1 bed · 1 bath,5522952,Johnny,,78704,30.2511,-97.76351,Entire home/apt,250,3,0,,,1,0,0,
6288166,Home in Austin · 2 bedrooms · 2 beds · 2 baths,32689270,James,,78756,30.31948,-97.7413,Entire home/apt,100,1,2,2015-08-28,0.02,1,0,0,
6291496,Rental unit in Austin · 1 bedroom · 2 beds · 1 bath,32710777,Allie,,78704,30.25437,-97.76158,Entire home/apt,250,2,0,,,1,0,0,
5612495,Rental unit in Austin · ★4.0 · 1 bedroom · 1 bed · 1 bath,29093891,Samuel,,78741,30.24771,-97.73127,Entire home/apt,141,2,3,2015-03-22,0.03,1,0,0,
6291810,Home in Austin · ★4.97 · 4 bedrooms · 4 beds · 2.5 baths,32713240,Bryan,,78749,30.225817934888987,-97.86992221949407,Entire home/apt,721,3,68,2023-05-16,0.71,1,266,8,
5615072,Home in Austin · ★4.65 · 2 bedrooms · 2 beds · 1 bath,579290,Jay,,78704,30.24411,-97.73858,Entire home/apt,165,3,40,2023-04-16,0.41,21,359,2,
6347473,Bungalow in Austin · ★4.97 · 2 bedrooms · 2 beds · 1 bath,4517692,Siobhan,,78702,30.27772,-97.70197,Entire home/apt,100,2,33,2019-10-07,0.36,1,0,0,
5616235,Rental unit in Austin · 1 bedroom · 1 bed · 1 bath,21366884,Taylor,,78741,30.24262,-97.72299,Entire home/apt,125,5,0,,,1,0,0,
6391710,Rental unit in Austin · ★4.99 · 1 bedroom · 2 beds · 1 bath,33325907,Tim,,78702,30.25405,-97.72702,Entire home/apt,177,2,397,2023-05-29,4.11,1,163,44,
6404272,Rental unit in Austin · 1 bedroom · 1 bed · 1 bath,328691,Nora,,78705,30.28941,-97.74821,Private room,35,1,1,2015-05-26,0.01,1,0,0,
5617119,Rental unit in Austin · 1 bedroom · 2 beds · 1 bath,13716533,Charlie,,78704,30.25516,-97.74426,Entire home/apt,375,2,2,2015-03-22,0.02,1,0,0,
6430521,Home in Austin · 3 bedrooms · 3 beds · 1 bath,32078587,Sara,,78745,30.2184,-97.7879,Entire home/apt,325,2,0,,,1,0,0,
5617149,Rental unit in Austin · ★4.78 · 1 bedroom · 1 bed · 1 bath,29115921,Chris,,78741,30.24451,-97.72666,Entire home/apt,150,2,9,2016-05-01,0.09,1,0,0,
6432177,Guesthouse in Austin · ★4.87 · Studio · 3 beds · 1 bath,33572970,Stephanie,,78703,30.29469,-97.77688,Entire home/apt,143,2,31,2023-04-09,0.33,1,137,4,
5618093,Home in Austin · 2 bedrooms · 3 beds · 1 bath,479953,Katie,,78722,30.28436,-97.71759,Entire home/apt,425,1,0,,,1,0,0,
6490112,Rental unit in Austin · ★4.96 · Studio · 1 bed · 1 bath,6867190,Mary,,78704,30.25867,-97.77812,Entire home/apt,122,1,390,2023-06-10,3.98,2,140,83,
6491526,Bungalow in Austin · ★4.95 · 2 bedrooms · 2 beds · 1 bath,1840027,Holland,,78723,30.30287,-97.69059,Entire home/apt,153,3,92,2023-05-29,1.02,1,208,24,
5618324,Rental unit in Austin · 1 bedroom · 1 bed · 1 bath,29122242,Marco,,78704,30.24112,-97.75762,Entire home/apt,200,1,0,,,2,0,0,
5618529,Home in Austin · 1 bedroom · 1 bed · 1 bath,3075710,Felicia,,78722,30.29045,-97.71908,Private room,140,2,0,,,1,0,0,
5619107,Home in Austin · 3 bedrooms · 3 beds · 1 bath,29125609,Winston,,78704,30.25159,-97.75918,Entire home/apt,200,1,0,,,2,0,0,
6524427,Home in Austin · ★4.50 · 3 bedrooms · 4 beds · 2 baths,33878080,Sam,,78745,30.22281,-97.7926,Entire home/apt,134,3,8,2023-06-03,2.24,4,85,8,
5620386,Home in Austin · ★5.0 · 4 bedrooms · 7 beds · 3 baths,9869495,Parika,,78704,30.24977,-97.73872,Entire home/apt,1123,3,8,2022-07-24,0.08,1,6,2,
5626595,Home in Austin · 1 bedroom · 1 bed · 1 bath,29161633,Casandra,,78744,30.17869,-97.75264,Private room,200,1,0,,,1,0,0,
6539818,Condo in Austin · ★4.90 · Studio · 1 bed · 1 bath,3432323,Julia,,78701,30.27903,-97.74486,Entire home/apt,146,2,243,2023-05-12,2.50,2,267,15,
5631123,Rental unit in Austin · 2 bedrooms · 2 beds · 2 baths,28016525,Matt,,78704,30.2435,-97.77979,Entire home/apt,70,1,1,2015-05-23,0.01,2,0,0,
5632201,Rental unit in Austin · 1 bedroom · 1 bed · 1 bath,29191548,Alejandro,,78751,30.30219,-97.73395,Private room,80,1,2,2015-03-23,0.02,1,0,0,
6545616,Home in Austin · 1 bedroom · 1 bed · 1 bath,34238380,Michael,,78721,30.27972,-97.68422,Private room,40,1,0,,,1,0,0,
6560787,Guesthouse in Austin · ★4.94 · 1 bedroom · 1 bed · 1 bath,7484327,Kimberly,,78704,30.24381,-97.75987,Entire home/apt,150,2,20,2020-09-22,0.26,1,0,0,
5639508,Place to stay in Austin · 1 bedroom · 2 beds · 1 bath,29155502,Tony R.,,78701,30.27066,-97.74162,Entire home/apt,849,2,0,,,1,0,0,
6563466,Guesthouse in Austin · 1 bedroom · 1 bed · 1 bath,33688563,Claire,,78704,30.26137,-97.76636,Entire home/apt,1000,1,0,,,1,0,0,
