PID,ZIPCODE,OWN_OCC,AV_TOTAL,LAND_SF,YR_BUILT,YR_REMOD,LIVING_AREA,NUM_FLOORS,STRUCTURE_CLASS,R_BLDG_STYL,R_ROOF_TYP,R_EXT_FIN,R_TOTAL_RMS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_BTH_STYLE,R_KITCH,R_KITCH_STYLE,R_HEAT_TYP,R_AC,R_FPLACE,R_EXT_CND,R_OVRALL_CND,R_INT_CND,R_INT_FIN,R_VIEW
2012052003,2132,Y,357300,7917,1960,0,1487,1,R,RR,G,W,7,3,1,1,S,1,S,W,N,0,A,A,A,N,A
2006110000,2132,N,548700,5500,1960,0,1498,1.5,R,CP,G,W,9,3,2,0,S,1,S,W,N,1,G,G,G,N,A
2008824000,2132,N,383100,3499,1905,0,1381,2,R,CL,L,M,6,3,1,0,S,1,S,W,N,0,A,A,A,N,F
2008263000,2132,Y,344800,5987,1960,0,972,1,R,RN,G,M,6,3,1,0,S,1,S,F,C,1,A,A,A,N,A
2006379000,2132,N,413800,3203,1920,0,1540,2,R,CL,L,M,7,4,2,0,S,1,S,W,N,0,A,A,A,N,A
2001853000,2132,Y,635900,11905,1910,0,1817,2,R,CL,H,W,7,3,1,0,S,1,S,W,N,0,A,A,G,N,A
1807413000,2131,N,306100,6400,1915,2006,694,1.5,R,CP,G,M,5,2,1,0,M,1,M,W,N,0,A,G,G,N,A
2012011000,2132,Y,325500,4200,1955,0,1200,2,R,CL,G,W,6,3,1,1,S,1,S,W,N,1,A,A,A,N,A
1703507000,2124,Y,602100,17375,1890,2015,2314,2,R,CV,G,M,10,3,2,1,S,1,S,W,N,1,G,G,G,N,A
1700277028,2124,N,233100,2430,1984,0,926,2,R,RE,G,W,4,2,1,0,S,1,S,E,N,0,A,A,A,N,A
1904133370,2131,Y,420500,3897,1905,0,1509,2,R,CL,G,M,6,3,1,0,S,1,S,W,N,0,G,A,A,N,A
2003475000,2132,Y,728900,8357,1927,2007,3607,2,R,CL,G,M,10,3,2,1,M,1,M,W,N,1,A,A,A,N,A
1812461000,2136,Y,330800,5000,1986,0,1318,1.5,R,CP,G,M,6,3,1,1,S,1,S,E,N,0,A,A,A,N,A
1402240000,2124,N,320200,6185,1890,1966,2901,2,R,CL,G,P,11,6,2,0,S,1,S,W,N,1,A,A,A,N,A
2009547000,2132,Y,373500,4800,1950,1989,1134,1,R,CP,G,W,7,3,1,0,S,1,S,F,N,1,A,A,A,N,A
